last_name, first_name,player_id,year,b_home_run,
Carpenter, Matt,572761,2017,23,
Dickerson, Corey,572816,2017,27,
Dozier, Brian,572821,2017,34,
Bryant, Kris,592178,2017,29,
Castellanos, Nick,592206,2017,26,
Gamel, Ben,592325,2017,11,
Healy, Ryon,592387,2017,25,
Judge, Aaron,592450,2017,52,
Machado, Manny,592518,2017,33,
Realmuto, J.T.,592663,2017,17,
Rosario, Eddie,592696,2017,27,
Simmons, Andrelton,592743,2017,14,
Yelich, Christian,592885,2017,18,
Merrifield, Whit,593160,2017,19,
Bogaerts, Xander,593428,2017,10,
Polanco, Jorge,593871,2017,13,
Calhoun, Kole,594777,2017,19,
Duvall, Adam,594807,2017,31,
Schebler, Scott,594988,2017,30,
Baez, Javier,595879,2017,23,
Lindor, Francisco,596019,2017,33,
Odor, Rougned,596059,2017,30,
Story, Trevor,596115,2017,24,
Sanchez, Gary,596142,2017,33,
Kepler, Max,596146,2017,19,
Franco, Maikel,596748,2017,24,
Bradley Jr., Jackie,598265,2017,17,
Bell, Josh,605137,2017,26,
Betts, Mookie,605141,2017,24,
Panik, Joe,605412,2017,10,
Arcia, Orlando,606115,2017,15,
Peraza, Jose,606299,2017,5,
Pillar, Kevin,607680,2017,16,
Ramirez, Jose,608070,2017,29,
Bregman, Alex,608324,2017,19,
Gallo, Joey,608336,2017,41,
Seager, Corey,608369,2017,22,
Mazara, Nomar,608577,2017,20,
Swanson, Dansby,621020,2017,6,
Taylor, Chris,621035,2017,21,
Buxton, Byron,621439,2017,16,
Margot, Manuel,622534,2017,13,
Puig, Yasiel,624577,2017,28,
Anderson, Tim,641313,2017,17,
Bellinger, Cody,641355,2017,39,
Mancini III, Trey,641820,2017,24,
Benintendi, Andrew,643217,2017,20,
Cabrera, Miguel,408234,2020,10,
Cruz Jr., Nelson,443558,2020,16,
Peralta, David,444482,2020,5,
Longoria, Evan,446334,2020,7,
Cabrera, Asdrubal,452678,2020,8,
Blackmon, Charlie,453568,2020,6,
Solano, Donovan,456781,2020,3,
McCutchen, Andrew,457705,2020,10,
Votto, Joey,458015,2020,11,
Santana, Carlos,467793,2020,8,
Brantley Jr., Michael,488726,2020,5,
Gurriel, Yuli,493329,2020,6,
Escobar, Eduardo,500871,2020,4,
Martinez, J.D.,502110,2020,7,
Reddick, Josh,502210,2020,4,
Goldschmidt, Paul,502671,2020,6,
Gonzalez, Marwin,503556,2020,5,
Altuve, Jose,514888,2020,5,
Hernandez, Cesar,514917,2020,3,
Segura, Jean,516416,2020,7,
Marte, Starling,516782,2020,6,
Freeman, Freddie,518692,2020,13,
Grandal, Yasmani,518735,2020,8,
LeMahieu, DJ,518934,2020,10,
Rizzo, Anthony,519203,2020,11,
Flores, Wilmer,527038,2020,12,
Garcia, Avisail,541645,2020,2,
Ozuna, Marcell,542303,2020,18,
Villar, Jonathan,542340,2020,2,
Aguilar, Jesus,542583,2020,8,
Crawford, Brandon,543063,2020,8,
Grossman, Robbie,543257,2020,8,
Hicks, Aaron,543305,2020,6,
Rendon, Anthony,543685,2020,9,
Semien, Marcus,543760,2020,7,
Springer III, George,543807,2020,14,
Vazquez, Christian,543877,2020,7,
Wong, Kolten,543939,2020,1,
Gregorius, Didi,544369,2020,10,
Grichuk, Randal,545341,2020,12,
Trout, Mike,545361,2020,17,
Ruiz, Rio,547004,2020,9,
Harper, Bryce,547180,2020,13,
Abreu, Jose,547989,2020,19,
Suarez, Eugenio,553993,2020,15,
Gonzalez, Erik,570481,2020,3,
Arenado, Nolan,571448,2020,8,
Muncy, Max,571970,2020,12,
Myers, Wil,571976,2020,15,
Pollock, AJ,572041,2020,16,
Seager, Kyle,572122,2020,9,
Voit III, Luke,572228,2020,22,
Walker, Christian,572233,2020,7,
Dickerson, Corey,572816,2020,7,
Yastrzemski, Mike,573262,2020,10,
Contreras, Willson,575929,2020,7,
Canha, Mark,592192,2020,5,
Castellanos, Nick,592206,2020,14,
Machado, Manny,592518,2020,16,
Moran, Colin,592567,2020,10,
Realmuto, J.T.,592663,2020,11,
Rosario, Eddie,592696,2020,13,
Yelich, Christian,592885,2020,12,
Merrifield, Whit,593160,2020,9,
Bogaerts, Xander,593428,2020,11,
Alberto, Hanser,593643,2020,3,
Polanco, Jorge,593871,2020,4,
Sano, Miguel,593934,2020,13,
Calhoun, Kole,594777,2020,16,
Duvall, Adam,594807,2020,16,
Profar, Jurickson,595777,2020,7,
Baez, Javier,595879,2020,8,
Lindor, Francisco,596019,2020,8,
Story, Trevor,596115,2020,11,
Kepler, Max,596146,2020,9,
Franco, Maikel,596748,2020,8,
Bradley Jr., Jackie,598265,2020,7,
La Stella, Tommy,600303,2020,5,
Nunez, Renato,600524,2020,12,
Candelario, Jeimer,600869,2020,7,
Ahmed, Nick,605113,2020,5,
Anderson, Brian,605119,2020,11,
Bell, Josh,605137,2020,8,
Betts, Mookie,605141,2020,16,
Davis, J.D.,605204,2020,6,
Arcia, Orlando,606115,2020,5,
Tapia, Raimel,606132,2020,1,
Hernandez, Teoscar,606192,2020,16,
Marte, Ketel,606466,2020,2,
Nimmo, Brandon,607043,2020,8,
Turner, Trea,607208,2020,12,
Pillar, Kevin,607680,2020,6,
Ramirez, Jose,608070,2020,17,
Gallo, Joey,608336,2020,10,
Seager, Corey,608369,2020,15,
Mondesi, Adalberto,609275,2020,6,
Reyes, Franmil,614177,2020,9,
