"player_name","batter","events","bb_type","hc_x","hc_y","hit_distance_sc","launch_speed","pitch_name"
"Harper, Bryce",547180,"single","line_drive",61.63,106.52,207,103.3,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","popup",98.4,189.55,75,84.5,"4-Seam Fastball"
"Turner, Trea",607208,"double","fly_ball",111.66,32.18,424,104.6,"4-Seam Fastball"
"Alonso, Pete",624413,"double","line_drive",220,108.77,320,106,"Slider"
"Ohtani, Shohei",660271,"field_out","fly_ball",130.61,49.84,369,99.7,"Sinker"
"Turner, Trea",607208,"field_out","fly_ball",172.8,95.17,283,91.1,"Slider"
"Soto, Juan",665742,"field_out","fly_ball",97.16,113.11,224,87.8,"4-Seam Fastball"
"Turner, Trea",607208,"field_out","ground_ball",102.14,174.72,32,60.5,"Split-Finger"
"Swanson, Dansby",621020,"field_out","fly_ball",107.63,88.85,279,87.6,"4-Seam Fastball"
"Turner, Trea",607208,"home_run","line_drive",68.38,39.9,418,108.5,"4-Seam Fastball"
"Turner, Trea",607208,"home_run","fly_ball",3.54,84.53,410,107.8,"4-Seam Fastball"
"Alonso, Pete",624413,"field_out","line_drive",83.91,93.18,283,87.4,"Curveball"
"Harper, Bryce",547180,"field_out","fly_ball",50.01,84.05,339,94.1,"Sinker"
"Turner, Trea",607208,"field_out","line_drive",120.56,55.36,356,100.9,"Changeup"
"Harper, Bryce",547180,"home_run","fly_ball",142.43,26.89,427,107.6,"Changeup"
"Ohtani, Shohei",660271,"triple","line_drive",198.69,129.38,155,100.3,"Cutter"
"Alonso, Pete",624413,"field_out","ground_ball",119.91,169.37,22,81.9,"Cutter"
"Swanson, Dansby",621020,"single","line_drive",56.27,105.52,203,89.5,"Changeup"
"Soto, Juan",665742,"field_out","fly_ball",78.42,105.23,252,96.3,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","fly_ball",111.9,71.36,319,99.1,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","ground_ball",155.41,143.79,10,79,"Curveball"
"Alonso, Pete",624413,"field_out","ground_ball",106.28,131.97,124,72.4,"Sinker"
"Ohtani, Shohei",660271,"triple","line_drive",216.87,102.23,299,101.8,"Changeup"
"Soto, Juan",665742,"single","line_drive",146.55,83.02,255,78.3,"4-Seam Fastball"
"Turner, Trea",607208,"home_run","fly_ball",26.4,48.34,443,108.3,"4-Seam Fastball"
"Harper, Bryce",547180,"double","line_drive",174.68,93.76,287,111.8,"Changeup"
"Alonso, Pete",624413,"field_out","ground_ball",133.87,139.46,20,114.5,"Changeup"
"Swanson, Dansby",621020,"field_out","line_drive",124.79,192.65,289,83.5,"4-Seam Fastball"
"Turner, Trea",607208,"field_out","line_drive",93.2,97.68,265,76.7,"Curveball"
"Harper, Bryce",547180,"field_out","line_drive",121.38,75.02,308,112.1,"Changeup"
