last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent
Beltran, Carlos,136860,2017,0.231,0.383,0.283
Pujols, Albert,405395,2017,0.241,0.386,0.286
Mauer, Joe,408045,2017,0.305,0.417,0.384
Cabrera, Miguel,408234,2017,0.249,0.399,0.329
Phillips, Brandon,408252,2017,0.285,0.416,0.318
Reyes, Jose,408314,2017,0.246,0.413,0.312
Choo, Shin-Soo,425783,2017,0.261,0.423,0.355
Molina, Yadier,425877,2017,0.273,0.439,0.311
Cano, Robinson,429664,2017,0.28,0.453,0.338
Encarnacion, Edwin,429665,2017,0.258,0.504,0.377
Bautista, Jose,430832,2017,0.203,0.366,0.308
Jones, Adam,430945,2017,0.285,0.466,0.321
Granderson, Curtis,434158,2017,0.212,0.452,0.323
Ramirez, Hanley,434670,2017,0.242,0.429,0.32
Morales, Kendrys,434778,2017,0.25,0.445,0.308
Kinsler, Ian,435079,2017,0.236,0.412,0.313
Cruz Jr., Nelson,443558,2017,0.288,0.549,0.375
Trumbo, Mark,444432,2017,0.234,0.397,0.289
Peralta, David,444482,2017,0.293,0.444,0.352
Escobar, Alcides,444876,2017,0.25,0.357,0.269
Longoria, Evan,446334,2017,0.261,0.424,0.313
Cozart, Zack,446359,2017,0.297,0.548,0.385
Reynolds, Mark,448602,2017,0.267,0.487,0.352
Davis, Chris,448801,2017,0.215,0.423,0.309
Headley, Chase,452104,2017,0.273,0.406,0.352
Pence, Hunter,452254,2017,0.26,0.385,0.315
Span, Denard,452655,2017,0.272,0.427,0.328
Cabrera, Asdrubal,452678,2017,0.28,0.434,0.35
Blackmon, Charlie,453568,2017,0.331,0.601,0.397
Frazier, Todd,453943,2017,0.213,0.428,0.344
Markakis, Nick,455976,2017,0.275,0.384,0.354
Cain, Lorenzo,456715,2017,0.3,0.44,0.363
McCutchen, Andrew,457705,2017,0.279,0.486,0.363
Upton, Justin,457708,2017,0.273,0.54,0.361
Turner, Justin,457759,2017,0.322,0.53,0.414
Posey III, Buster,457763,2017,0.32,0.462,0.4
Bruce, Jay,457803,2017,0.254,0.508,0.324
Votto, Joey,458015,2017,0.32,0.578,0.454
Gardner, Brett,458731,2017,0.264,0.428,0.348
Joyce, Matt,459964,2017,0.243,0.473,0.335
Gordon, Alex,460086,2017,0.208,0.315,0.292
Andrus, Elvis,462101,2017,0.297,0.471,0.337
Cabrera, Melky,466320,2017,0.285,0.423,0.323
Santana, Carlos,467793,2017,0.259,0.455,0.363
Gonzalez, Carlos,471865,2017,0.262,0.423,0.339
Mercer, Jordy,474568,2017,0.255,0.406,0.326
Alonso, Yonder,475174,2017,0.266,0.501,0.365
Smoak, Justin,475253,2017,0.27,0.529,0.355
Zimmerman, Ryan,475582,2017,0.303,0.573,0.358
Lowrie, Jed,476704,2017,0.277,0.448,0.36
Morrison, Logan,489149,2017,0.246,0.516,0.353
